district ,parameter.ph,parameter.tds,parameter.flouride ,parameter.no3,cordinates.longitude ,cordinates.latitude ,state
,,,,,,,
Balod,7.84,361.4,0.29,18.61,81.2056,20.7271,IN-CT
Baloda bazar,8.023529412,433.7647059,0.247058824,10.67058824,82.1592,21.6569,IN-CT
Balrampur,8.036363636,220.8181818,0.3,13.34545455,83.6109,23.6112,IN-CT
Bemetara,7.942857143,482.8571429,0.342857143,29.85714286,81.5356,21.714,IN-CT
Bilaspur,8.1675,414.125,0.465,21.97,82.1409,22.0797,IN-CT
Dhamtari,7.992857143,347.5,0.385714286,16.05,81.5542,20.7015,IN-CT
Durg,7.929411765,381.7058824,0.217647059,27.74705882,81.2849,21.1904,IN-CT
Gariyabandh,7.828571429,463.5714286,0.185714286,11.42857143,82.0615,20.6348,IN-CT
Janjgir- Champa,8.074193548,408.0967742,0.258064516,20.48709677,82.4753,21.9706,IN-CT
Jashpur,8.025,211.3,0.46,17.575,83.8473,22.7875,IN-CT
Kawardha,7.975,569.25,0.275,27.825,81.2359,22.0106,IN-CT
Korba,7.938461538,229.6923077,0.371794872,13.80769231,82.7501,22.3595,IN-CT
Koriya,7.966666667,366.3333333,0.1,22.3,82.3886,23.3875,IN-CT
Mahasamund,7.98125,344.125,0.53125,18.775,82.6051,21.1705,IN-CT
Mungeli,8.24,513.6,0.41,29.93,81.6857,22.0685,IN-CT
Raigarh,7.92,294.6,0.456363636,13.8,83.395,21.8974,IN-CT
Raipur,7.840909091,341.1363636,0.304545455,17.48181818,81.6296,21.2514,IN-CT
Rajnandgaon,8.045454545,508.0909091,0.468181818,23.62272727,81.0337,21.0943,IN-CT
Surajpur,7.8,233.95,0.18,26.275,82.8694,23.2148,IN-CT
Surguja,7.955,213.85,0.205,16.935,83.1649,22.9494,IN-CT
