district ,parameter.ph,parameter.tds,parameter.no3,parameter.flouride,cordinates.longitude ,cordinates.latitude ,state
,,,,,,,
Bokaro,7.666666667,745.875,66.49444444,0.931111111,86.1511,23.6693,IN-JH
Chatra,7.94625,630.74375,16.9625,0.57125,84.8568,24.1526,IN-JH
Deogarh,7.951,416,58.097,5.528,84.7289,21.5383,IN-JH
Dhanbad,7.833333333,690.0291667,42.14166667,1.266666667,86.4304,23.7957,IN-JH
Dumka,7.776666667,502.8833333,19.49333333,0.356428571,87.3016,24.4053,IN-JH
E. Singhbhum,8.032857143,513.0821429,17.64285714,0.462142857,86.4997,22.4867,IN-JH
Garhwa,8.213333333,569.5083333,11.26666667,0.893333333,83.7996,24.1549,IN-JH
Giridih,7.716315789,592.5263158,65.53157895,0.662105263,86.2996,24.1913,IN-JH
Godda,7.64625,522.35625,12.375,0.41375,87.2135,24.8255,IN-JH
Gumla,7.48,430.05625,49.26,0.215,84.5379,23.0441,IN-JH
Hazaribagh,8.04875,596.903125,26.97,0.655625,85.362,23.9933,IN-JH
Jamtara,7.76,403.7428571,35.14285714,5.917142857,86.817,23.9505,IN-JH
Koderma,7.962857143,464.1,26.28571429,0.478571429,85.5934,24.4677,IN-JH
Latehar,8.127,444.34,12.15,0.522,84.3542,23.7556,IN-JH
Lohardaga,7.28,286,0.44,0.25,84.6479,23.4338,IN-JH
Pakur,7.778333333,345.475,30.56,0.761666667,87.8501,24.6337,IN-JH
Palamu,8.19,499.0118421,9.421052632,0.912631579,84.1857,24.1286,IN-JH
Ramgarh,7.610625,453.5375,28.6875,0.768125,85.5612,23.6524,IN-JH
Ranchi,7.334444444,316.8388889,5.903888889,0.356111111,85.3096,23.3441,IN-JH
Sahebganj,7.830833333,500.4458333,9.4475,0.347272727,87.6454,25.2381,IN-JH
Saraikela & Kharsawan,8.26,570.375,19.5,0.26,86.0122,22.8561,IN-JH
Simdega,7.7875,272.26875,12.0125,0.20875,84.496,22.6151,IN-JH
W. Singhbhum,8.126428571,508.1142857,19.78785714,0.576428571,85.4376,22.3651,IN-JH
